Complexity,Loss,Equation
1,33.515892,"32.999935"
3,17.201054,"(110.000084 / x0)"
5,17.069796,"((x2 - -84.00009) / x0)"
7,9.323113,"(((x4 / x0) / x1) / 0.073275685)"
9,5.5719504,"((((x4 / x1) + 3.363591) / x0) / 0.09706366)"
11,4.793321,"((((x4 / x2) + (x4 / x1)) / x0) / 0.09513004)"
13,3.8211105,"(((((9.30728 + x3) / x2) + (x4 / x1)) / x0) / 0.09196517)"
15,2.9135094,"((((x3 + (7.283532 * x0)) / x2) + (x4 / x1)) / (0.09288006 * x0))"
17,2.801022,"((((((x3 - (x0 / -0.20899363)) * 1.3796922) / x2) + (x4 / x1)) / x0) / 0.09786182)"
19,2.7217646,"((((((x3 + (x0 / 0.2617655)) * 1.342297) / x2) + ((x4 + x0) / x1)) / x0) / 0.09795858)"
21,2.6834018,"(((((((x3 + (x0 / 0.25505993)) * 1.3845794) / x2) + ((x4 + x0) / x1)) / x0) / 0.09795858) - 0.67945987)"
23,2.673934,"((((((-1.7823781 * x0) - x4) / x1) - (((x3 - (x0 * -2.8015141)) / 0.6751896) / x2)) / (-0.099404596 * x0)) + -0.8321562)"
25,2.6548223,"((((-0.77164495 - (x4 + x0)) / x1) - (((x3 + (x0 + ((x0 / x3) * x4))) / 0.6718203) / x2)) / (-0.09983534 * x0))"
